               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  84,             0.02639,           0.0075782,           0.0058219,             0.90619,             0.81842,              0.8923,             0.59348,            0.026931,           0.0030746,            0.015233,           0.0058915,           0.0058915,           0.0058915
                  85,            0.026811,           0.0076862,           0.0047477,             0.90648,             0.81842,             0.90597,             0.59415,            0.025181,           0.0030427,            0.014806,            0.005842,            0.005842,            0.005842
                  86,            0.026648,           0.0071374,           0.0052162,             0.89457,             0.81842,             0.90882,             0.51427,            0.029571,           0.0030661,            0.014565,           0.0057925,           0.0057925,           0.0057925
                  87,            0.028765,           0.0067417,           0.0054115,             0.83939,             0.79211,             0.88522,             0.57686,            0.026027,           0.0030746,            0.015898,            0.005743,            0.005743,            0.005743
                  88,            0.026043,           0.0073067,           0.0051951,             0.89443,             0.79211,             0.88849,             0.51592,            0.029132,           0.0031056,            0.018104,           0.0056935,           0.0056935,           0.0056935
                  89,             0.02631,           0.0078542,           0.0060113,             0.89974,             0.79211,             0.86751,              0.5394,            0.029294,           0.0031352,            0.018728,            0.005644,            0.005644,            0.005644
                  90,            0.026092,           0.0079684,           0.0057003,             0.89682,             0.79211,              0.8813,             0.53328,            0.029285,           0.0031438,            0.018113,           0.0055945,           0.0055945,           0.0055945
                  91,             0.02641,           0.0076947,           0.0049558,             0.89732,             0.79211,             0.89356,             0.59804,            0.030561,           0.0031338,            0.016553,            0.005545,            0.005545,            0.005545
                  92,            0.026067,            0.007432,           0.0053158,             0.91245,             0.81842,             0.90533,             0.59589,            0.024544,           0.0030961,            0.016001,           0.0054955,           0.0054955,           0.0054955
                  93,             0.02522,           0.0069434,           0.0054705,             0.87566,             0.76579,             0.89897,             0.58273,            0.026407,           0.0030928,            0.016668,            0.005446,            0.005446,            0.005446
                  94,            0.025015,           0.0070706,           0.0096399,             0.87488,             0.71975,             0.86383,             0.52405,            0.027403,           0.0031035,            0.018624,           0.0053965,           0.0053965,           0.0053965
                  95,            0.026587,           0.0070399,           0.0047584,             0.82125,             0.71625,             0.82632,              0.5389,            0.030652,           0.0029824,            0.021208,            0.005347,            0.005347,            0.005347
                  96,             0.02563,           0.0069038,           0.0045151,             0.81829,             0.72999,             0.81966,             0.55914,            0.028551,           0.0029268,            0.021261,           0.0052975,           0.0052975,           0.0052975
                  97,            0.024745,           0.0070375,           0.0044775,             0.80271,             0.77793,             0.82738,             0.61028,            0.023022,           0.0028887,            0.021417,            0.005248,            0.005248,            0.005248
                  98,            0.024148,           0.0068638,           0.0045705,             0.82134,             0.73636,              0.7947,             0.52762,            0.029948,           0.0028996,            0.022875,           0.0051985,           0.0051985,           0.0051985
                  99,            0.025398,           0.0063721,           0.0053294,             0.78688,              0.7546,              0.7934,             0.54242,             0.02573,           0.0029192,            0.024657,            0.005149,            0.005149,            0.005149
                 100,            0.024516,            0.007137,           0.0043759,             0.78735,             0.77201,             0.79393,             0.52697,            0.024323,            0.002939,             0.02492,           0.0050995,           0.0050995,           0.0050995
                 101,            0.024194,           0.0070918,            0.010012,             0.84829,             0.73354,             0.80557,             0.56193,            0.024396,            0.002897,            0.024831,             0.00505,             0.00505,             0.00505
                 102,             0.02344,            0.006544,           0.0045846,             0.85552,              0.7364,             0.78665,             0.56063,            0.022609,           0.0028694,            0.025202,           0.0050005,           0.0050005,           0.0050005
                 103,            0.025504,           0.0071797,           0.0049384,             0.86964,             0.71679,             0.78649,             0.54065,             0.02428,           0.0029259,            0.025929,            0.004951,            0.004951,            0.004951
                 104,            0.022612,           0.0068682,           0.0052784,             0.82328,               0.763,             0.79636,             0.52884,            0.024312,           0.0028403,              0.0252,           0.0049015,           0.0049015,           0.0049015
                 105,             0.02297,           0.0064931,           0.0049808,             0.79149,             0.77618,             0.79215,             0.59122,            0.020506,           0.0027847,            0.025281,            0.004852,            0.004852,            0.004852
                 106,            0.022955,           0.0066757,           0.0060154,             0.79201,             0.73947,             0.76195,             0.52043,            0.026015,           0.0028317,             0.02634,           0.0048025,           0.0048025,           0.0048025
                 107,            0.025388,           0.0077853,           0.0059441,             0.74748,             0.79912,             0.79231,             0.56131,            0.023485,           0.0028017,            0.024402,            0.004753,            0.004753,            0.004753
                 108,            0.021473,           0.0069973,           0.0041634,             0.85157,             0.71316,             0.77438,             0.48745,            0.026639,           0.0028315,            0.023899,           0.0047035,           0.0047035,           0.0047035
